324-00020	2017/01/03	2
324-00020	2017/01/06	1
324-00020	2017/01/13	1
324-00020	2017/01/16	3
324-00020	2017/01/17	1
324-00020	2017/01/23	1
324-00020	2017/01/28	1
324-00020	2017/02/01	2
324-00020	2017/02/04	2
324-00020	2017/02/08	4
324-00020	2017/02/09	2
324-00020	2017/02/21	2
324-00020	2017/02/25	1
324-00020	2017/02/28	1
324-00020	2017/03/01	1
324-00020	2017/03/06	1
324-00020	2017/03/09	2
324-00020	2017/03/10	1
324-00020	2017/03/16	1
324-00020	2017/03/21	1
324-00020	2017/03/22	1
324-00020	2017/03/25	2
324-00020	2017/04/04	4
324-00020	2017/04/05	1
324-00020	2017/04/06	1
324-00020	2017/04/07	1
324-00020	2017/04/08	1
324-00020	2017/04/10	1
324-00020	2017/04/14	2
324-00020	2017/04/15	4
324-00020	2017/04/17	4
324-00020	2017/04/18	1
324-00020	2017/04/19	2
324-00020	2017/04/24	5
324-00020	2017/04/25	1
324-00020	2017/04/26	7
324-00020	2017/04/27	3
324-00020	2017/05/01	1
324-00020	2017/05/03	3
324-00020	2017/05/04	1
324-00020	2017/05/06	1
324-00020	2017/05/08	4
324-00020	2017/05/09	2
324-00020	2017/05/10	1
324-00020	2017/05/16	1
324-00020	2017/05/17	1
324-00020	2017/05/20	1
324-00020	2017/05/22	3
324-00020	2017/05/23	2
324-00020	2017/05/24	1
324-00020	2017/05/26	1
324-00020	2017/05/27	1
324-00020	2017/05/30	3
324-00020	2017/05/31	5
324-00020	2017/06/01	3
324-00020	2017/06/03	2
324-00020	2017/06/05	1
324-00020	2017/06/06	1
324-00020	2017/06/07	1
324-00020	2017/06/08	2
324-00020	2017/06/09	2
324-00020	2017/06/10	6
324-00020	2017/06/12	2
324-00020	2017/06/13	2
324-00020	2017/06/14	1
324-00020	2017/06/16	4
324-00020	2017/06/17	1
324-00020	2017/06/19	3
324-00020	2017/06/20	1
324-00020	2017/06/21	3
324-00020	2017/06/22	1
324-00020	2017/06/23	1
324-00020	2017/06/24	2
324-00020	2017/06/27	2
324-00020	2017/06/30	1
324-00020	2017/07/05	1
